#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2023 01 05 11 26 999 99.0 99.0  3.46 12.50  8.04 271 9999.0 999.0  15.4 999.0 99.0 99.00
2023 01 05 11 56 999 99.0 99.0  3.58 15.38  8.05 288 9999.0 999.0  15.4 999.0 99.0 99.00
2023 01 05 12 26 999 99.0 99.0  3.85 13.33  8.65 289 9999.0 999.0  15.4 999.0 99.0 99.00
2023 01 05 12 56 999 99.0 99.0  3.68  9.88  8.31 251 9999.0 999.0  15.4 999.0 99.0 99.00
2023 01 05 13 26 999 99.0 99.0  3.46 10.53  8.24 255 9999.0 999.0  15.3 999.0 99.0 99.00
2023 01 05 13 56 999 99.0 99.0  3.58 11.11  8.23 265 9999.0 999.0  15.3 999.0 99.0 99.00
2023 01 05 14 26 999 99.0 99.0  3.71 12.50  8.61 267 9999.0 999.0  15.3 999.0 99.0 99.00
2023 01 05 14 56 999 99.0 99.0  3.78 11.11  8.95 248 9999.0 999.0  15.3 999.0 99.0 99.00
2023 01 05 15 26 999 99.0 99.0  3.77 11.11  8.84 248 9999.0 999.0  15.4 999.0 99.0 99.00
2023 01 05 15 56 999 99.0 99.0  3.82 10.53  9.42 244 9999.0 999.0  15.4 999.0 99.0 99.00
2023 01 05 16 26 999 99.0 99.0  4.22 20.00 10.73 278 9999.0 999.0  15.4 999.0 99.0 99.00
2023 01 05 16 56 999 99.0 99.0  4.28 20.00 10.66 279 9999.0 999.0  15.4 999.0 99.0 99.00
2023 01 05 17 26 999 99.0 99.0  4.69 20.00 10.79 279 9999.0 999.0  15.4 999.0 99.0 99.00
2023 01 05 17 56 999 99.0 99.0  4.75 18.18 11.80 281 9999.0 999.0  15.4 999.0 99.0 99.00
2023 01 05 18 26 999 99.0 99.0  4.86 18.18 12.05 282 9999.0 999.0  15.4 999.0 99.0 99.00
2023 01 05 18 56 999 99.0 99.0  5.11 20.00 13.08 279 9999.0 999.0  15.5 999.0 99.0 99.00
